GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,dtu.businesslogic,ReportManagerService,99,197,18,12,21,51,11,8,0,4
JaCoCo Coverage Report,dtu.businesslogic,StartUp,11,22,0,0,5,6,1,2,1,2
JaCoCo Coverage Report,dtu.businesslogic,AccountManagerService,72,402,2,8,6,79,3,16,1,13
JaCoCo Coverage Report,dtu.businesslogic,TokenManagerService,61,259,10,20,23,61,13,15,3,10
JaCoCo Coverage Report,dtu.pay.repositories,PaymentReadModelRepository,3,134,3,3,2,31,3,7,0,7
JaCoCo Coverage Report,dtu.pay.repositories,PaymentRepository,7,79,3,9,3,19,3,7,0,4
JaCoCo Coverage Report,dtu.pay.repositories,EventStore,13,63,2,4,1,14,2,6,0,5
JaCoCo Coverage Report,dtu.merchant_communication,PaymentRequest,0,12,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,dtu.merchant_communication,MerchantFacadeService,163,509,17,11,49,103,12,17,0,15
JaCoCo Coverage Report,dtu.merchant_communication,AccountId,0,19,0,0,0,6,0,4,0,4
JaCoCo Coverage Report,dtu.merchant_communication,Merchant,0,15,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,dtu.merchant_communication,MerchantFacadeResource,0,33,0,0,0,6,0,6,0,6
JaCoCo Coverage Report,dtu,TokenService,42,324,5,15,6,61,5,15,0,10
JaCoCo Coverage Report,dtu.customer_communication.Exceptions,HttpExceptionMapper,6,35,1,3,3,11,1,3,0,2
JaCoCo Coverage Report,dtu.customer_communication.Exceptions,HttpException,0,4,0,0,0,2,0,1,0,1
JaCoCo Coverage Report,dtu.aggregate,Token,55,347,9,13,8,81,12,27,3,25
JaCoCo Coverage Report,dtu.aggregate,UserType,0,27,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,dtu.aggregate,Merchant,12,130,1,1,2,34,2,11,1,11
JaCoCo Coverage Report,dtu.aggregate,RequestedAt,14,0,2,0,2,0,3,0,2,0
JaCoCo Coverage Report,dtu.aggregate,TokenStatus.State,0,27,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,dtu.aggregate,Report,95,74,6,0,21,19,12,5,9,5
JaCoCo Coverage Report,dtu.aggregate,Customer,12,130,1,1,2,34,2,11,1,11
JaCoCo Coverage Report,dtu.aggregate,CorrelationId,9,0,2,0,1,0,2,0,1,0
JaCoCo Coverage Report,dtu.aggregate,CreatedAt,14,0,2,0,2,0,3,0,2,0
JaCoCo Coverage Report,dtu.aggregate,TokenStatus,0,29,0,0,0,8,0,5,0,5
JaCoCo Coverage Report,dtu.aggregate,ConcurrentIdState,0,13,1,3,0,2,1,3,0,2
JaCoCo Coverage Report,dtu.events,CustomerCreated,0,32,0,0,0,8,0,1,0,1
JaCoCo Coverage Report,dtu.events,MerchantCreated,0,32,0,0,0,8,0,1,0,1
JaCoCo Coverage Report,dtu.events,TokenIssued,0,26,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,dtu.events,TokenReserved,0,26,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,dtu.events,TokenInvalidated,0,26,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,dtu.events,CustomerDeregistered,0,16,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,dtu.events,TokenReleased,0,26,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,dtu.events,ReportEntryCreated,0,13,0,0,0,5,0,1,0,1
JaCoCo Coverage Report,dtu.events,TokenConsumed,0,26,0,0,0,6,0,3,0,3
JaCoCo Coverage Report,dtu.events,MerchantDeregistered,0,16,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,dtu.customer_communication,CustomerFacadeResource,0,29,0,0,0,6,0,6,0,6
JaCoCo Coverage Report,dtu.customer_communication,TokenRequest,18,0,0,0,7,0,4,0,4,0
JaCoCo Coverage Report,dtu.customer_communication,Customer,0,15,0,0,0,1,0,1,0,1
JaCoCo Coverage Report,dtu.customer_communication,AccountId,0,17,0,0,0,3,0,2,0,2
JaCoCo Coverage Report,dtu.customer_communication,CustomerFacadeService,154,489,15,11,48,104,11,16,0,14
JaCoCo Coverage Report,dtu.pay.events,PaymentRecorded,0,49,0,0,0,8,0,1,0,1
JaCoCo Coverage Report,dtu.pay.events,PaymentCustomerAssigned,0,20,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,dtu.pay.events,PaymentInitiated,0,49,0,0,0,8,0,1,0,1
JaCoCo Coverage Report,dtu.pay.events,PaymentFailedRecorded,0,20,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,dtu.pay.aggregate,AccountId,0,10,0,2,0,3,0,2,0,1
JaCoCo Coverage Report,dtu.pay.aggregate,ConcurrentIdState,0,19,1,7,0,2,1,5,0,2
JaCoCo Coverage Report,dtu.pay.aggregate,PaymentStatus,0,21,0,0,0,4,0,1,0,1
JaCoCo Coverage Report,dtu.pay.aggregate,Payment,47,274,8,6,6,68,10,19,3,19
JaCoCo Coverage Report,dtu.pay,StartUp,11,22,0,0,5,6,1,2,1,2
JaCoCo Coverage Report,dtu.pay,BankManagerService,0,140,0,0,0,23,0,3,0,3
JaCoCo Coverage Report,dtu.pay,PaymentService,68,762,13,35,15,151,12,34,0,22
JaCoCo Coverage Report,dtu.manager_communication,ManagerFacadeService,174,422,16,8,54,85,10,17,0,15
JaCoCo Coverage Report,dtu.manager_communication,ManagerFacadeResource,0,31,0,0,0,7,0,7,0,7
JaCoCo Coverage Report,dtu.repositories,TokenRepository,0,25,0,0,0,7,0,3,0,3
JaCoCo Coverage Report,dtu.repositories,CustomerRepository,0,25,0,0,0,7,0,3,0,3
JaCoCo Coverage Report,dtu.repositories,ReadModelRepository,17,150,6,2,3,31,5,7,1,7
JaCoCo Coverage Report,dtu.repositories,EventStore,13,63,2,4,1,14,2,6,0,5
JaCoCo Coverage Report,dtu.repositories,MerchantRepository,0,25,0,0,0,7,0,3,0,3
JaCoCo Coverage Report,dtu.repositories,ReportRepository,16,9,0,0,4,3,2,1,2,1
